	pbanka_id	Gene IDs	gene_product	gene_symbol	pool	GCKO2_RGR	GCKO2_diff_max	GCKO2_diff_min	GCKO2_feed	GCKO2_pheno	GCKO2_relative_filter	GCKO2_sd	GCKO2_var	GCKO2_pvalue2	GCKO2_pvalue	GCKO2_zvalue	GCKO2_fdr	GCKO2_fdr2	g145480_RGR	g145480_diff_max	g145480_diff_min	g145480_feed	g145480_pheno	g145480_relative_filter	g145480_sd	g145480_var	g145480_pvalue2	g145480_pvalue	g145480_zvalue	g145480_fdr	g145480_fdr2	PbGEM-ID
0	PBANKA_1437500	PBANKA_1437500_pilot,pool4	AP2 domain transcription factor AP2-G	AP2-G	pilot,pool4	-12.408197852412426	-10.0468439101211	-14.76955179470375	Mf1 and Mf2,no data	Reduced	Not applied,applied	1.1806769711456624	1.3939981101936951	0.0	0.0	10.50939262444681	0.0	0.0	-8.449146099240918	-8.203210826880712	-8.695081371601121	Mf1 and Mf2,Mf1 and Mf2	Reduced	Not applied,Not applied	0.12296763618010245	0.01512103954772204	0.0	0.0	68.71032380313483	0.0	0.0	PbGEM-340307
1	PBANKA_0835100	PBANKA_0835100_pool6	ATP synthase-associated protein, putative		pool6	-12.142676250256807	-11.665174018843956	-12.620178481669665	Mf1 and Mf2	Reduced	Not applied	0.2387511157064273	0.05700209525106386	0.0	0.0	50.859139293772614	0.0	0.0	-0.06558042196714235	0.11669753919336727	-0.247858383127652	Mf1 and Mf2	Not Reduced	Not applied	0.0911389805802548	0.008306313781208063	0.4717928585925022	0.2358964292962511	0.7195650154260151	0.35144904101842905	0.571722861724907	PbGEM-332107
2	PBANKA_1331800	PBANKA_1331800_pool6	derlin-1, putative	DER1-1	pool6	-11.406276076455855	-10.524500035192153	-12.288052117719564	Mf1 and Mf2	Reduced	Not applied	0.4408880206318528	0.19438224673667304	0.0	0.0	25.871140840046202	0.0	0.0	-4.4748797955867206	-3.122496521943372	-5.827263069230069	Mf1 and Mf2	Reduced	Not applied	0.6761916368216744	0.4572351297075752	3.646616342223297e-11	1.8233081711116487e-11	6.6177686204759105	7.813282781361599e-11	1.4574777496001443e-10	PbGEM-249676
3	PBANKA_0906200	PBANKA_0906200_pool5	ATP synthase-associated protein, putative		pool5	-11.052851982845798	-9.825013571144355	-12.280690394547234	Mf1 and Mf2	Reduced	Not applied	0.6139192058507199	0.3768967913123786	0.0	0.0	18.00375664665783	0.0	0.0	-0.7809940156567499	-0.3936761711468239	-1.1683118601666758	Mf1 and Mf2	Not Reduced	Not applied	0.193658922254963	0.03750377816895381	5.5108536350045874e-05	2.755426817502293e-05	4.032832603645944	8.046878785539485e-05	0.0001468383436506564	PbGEM-287690
4	PBANKA_0312200	PBANKA_0312200_pool6	conserved Plasmodium protein, unknown function		pool6	-10.76368604913584	-10.084452101838076	-11.442919996433606	Mf1 and Mf2	Reduced	Not applied	0.33961697364888305	0.11533968879042612	0.0	0.0	31.693604514196053	0.0	0.0	-10.014268503249722	-9.693333511556867	-10.335203494942578	Mf1 and Mf2	Reduced	Not applied	0.16046749584642725	0.02574981722322315	0.0	0.0	62.40683479496503	0.0	0.0	PbGEM-328643
5	PBANKA_1435200	PBANKA_1435200_pool2	zinc finger protein, putative		pool2	-10.677181815372268	-6.3367196733311335	-15.017643957413403	Mf1 and Mf2	Reduced	Not applied	2.170231071020568	4.7099029016230824	8.661658099651249e-07	4.3308290498256246e-07	4.919836398043661	1.30342300800776e-06	2.2680106847933767e-06	-0.6100447929775978	0.08284520759717727	-1.302934793552373	Mf1 and Mf2	Not Reduced	Not applied	0.3464450002873876	0.12002413822412797	0.07826031804270195	0.039130159021350974	1.7608705349234235	0.07144261830106101	0.12138136392941458	PbGEM-067210
6	PBANKA_1450300	PBANKA_1450300_pool6	ATP synthase subunit beta, mitochondrial	ATPbeta	pool6	-10.637755100964046	-10.275769999931628	-10.999740201996467	Mf1 and Mf2	Reduced	Not applied	0.1809925505162106	0.03275830334236305	0.0	0.0	58.77454663533943	0.0	0.0	-0.2006925363836241	-0.01779842564166867	-0.3835866471255796	Mf1 and Mf2	Not Reduced	Not applied	0.09144705537097772	0.008362563936022664	0.0281900828157029	0.01409504140785145	2.1946309322860635	0.02803272190684332	0.048287133614260326	PbGEM-324795
7	PBANKA_0910200	PBANKA_0910200_pool6	protein phosphatase PPM2	PPM2	pool6	-10.446298763266073	-10.086465055221463	-10.80613247131068	Mf1 and Mf2	Reduced	Not applied	0.1799168540223037	0.03237007436128294	0.0	0.0	58.06181316382443	0.0	0.0	-0.7114761525492245	-0.3758825422437593	-1.0470697628546897	Mf1 and Mf2	Not Reduced	Not applied	0.1677968051527326	0.028155767819464106	2.234147805646458e-05	1.117073902823229e-05	4.240105476988207	3.372859943875464e-05	6.163677685046754e-05	PbGEM-029668
8	PBANKA_0516300	PBANKA_0516300_pool6	DER1-like protein, putative		pool6	-10.424833348609504	-9.33730826739812	-11.512358429820885	Mf1 and Mf2	Reduced	Not applied	0.5437625406056917	0.2956777005659565	0.0	0.0	19.171665148168138	0.0	0.0	-5.212294648949434	-4.857893581559715	-5.566695716339153	Mf1 and Mf2	Reduced	Not applied	0.17720053369485933	0.03140002914174298	0.0	0.0	29.414666763504478	0.0	0.0	PbGEM-232246
9	PBANKA_0819400	PBANKA_0819400_pool2	conserved Plasmodium protein, unknown function		pool2	-10.370560189426776	-7.370475257157924	-13.370645121695626	Mf1 and Mf2	Reduced	Not applied	1.5000424661344256	2.250127400206649	4.727995772668692e-12	2.363997886334346e-12	6.913511066224324	8.920342477436851e-12	1.613460852476283e-11	-7.997560329930986	-5.1900492526349415	-10.80507140722703	Mf1 and Mf2	Reduced	Not applied	1.4037555386480225	1.970529612284999	1.2174816266252721e-08	6.0874081331263605e-09	5.697260035485634	2.2795789615641357e-08	4.182368012125934e-08	PbGEM-331683
