	pbanka_id	old_pbanka_id	gene_description	gene_shortname	pool	GCKO2_RGR	GCKO2_sd	GCKO2_var	GCKO2_diff_max	GCKO2_diff_min	GCKO2_pheno	GCKO2_relative_filter	GCKO2_feed	GCKO2_pvalue	GCKO2_fdr	g145480_RGR	g145480_sd	g145480_var	g145480_diff_max	g145480_diff_min	g145480_pheno	g145480_relative_filter	g145480_feed	g145480_pvalue	g145480_fdr	Male gametcytes	difference.x	differencesd.x	p.x	diffmax.x	diffmin.x	phenotype.x	Condition.y	Female gametocytes	differencesd.y	p.y	diffmax.y	diffmin.y	power.y	minmax	B2toMG_RGR	B2toMG_SD	B2toMG_pheno	MGtoSG_RGR	MGtoSG_SD	MGtoSG_pheno	SGtoB2_RGR	SGtoB2_SD	SGtoB2_pheno	blood_RGR	blood_SD	blood_pheno
0	PBANKA_0407500	PBANKA_040750	N2227-like protein, putative	NaN	pool6	-10.144950207309037	0.19421935682991914	0.037721158567427464	-9.756511493649198	-10.533388920968873	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	-11.598956854774286	0.20060191120530985	0.040241126779223015	-11.197753032363668	-12.000160677184908	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	GFPsort	0.818599874	0.648198874	0.896684533	2.1149976230000003	-0.477797875	notreduced	RFPsort	0.51524505	0.6623847310000001	0.78167532	1.840014513	-0.809524413	notreduced	1.840014513	-9.165993549	0.484221542	reduced	-0.67880512	0.5287615960000001	nopower	2.35049663	1.059348011	notreduced	0.660309121	0.036399468	Slow
1	PBANKA_1320100	PBANKA_132010	conserved Plasmodium protein, unknown function	UIS25	pool2	-0.39340291587419024	0.07733023933992474	0.005979965916370043	-0.2387424371943408	-0.5480633945540397	Not Reduced	Not applied	Mf1 and Mf2	1.81588767023122e-07	5.386681708335149e-07	-10.397446386266509	0.37341114818311627	0.13943588558743322	-9.650624089900278	-11.144268682632744	Reduced	Not applied	Mf1	0.0	0.0	GFPsort	0.22340705600000002	0.084464927	0.9959150720000001	0.39233691	0.054477202	notreduced	RFPsort	0.389274102	0.07805728099999999	0.999999693	0.545388664	0.23315953899999997	notreduced	0.39233691	-0.39410777399999997	0.41585295	nopower	0.268940301	0.38625031299999996	notreduced	-0.9490054990000001	0.622687978	nopower	1.022658002	0.115044492	Dispensable
2	PBANKA_1447900	PBANKA_144790	conserved Plasmodium protein, unknown function	NaN	pool6	0.5471985677270537	0.1477829656408908	0.021839804933616716	0.8427644990088352	0.2516326364452721	Not Reduced	Not applied	Mf1 and Mf2	0.9998933488063636	1.0	-10.153388354209348	0.24513019889391416	0.06008881440976991	-9.66312795642152	-10.643648751997175	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	GFPsort	-3.6253224189999997	0.371322031	8.09e-23	-2.882678358	-4.367966481	reduced	RFPsort	0.26249446	0.14608647800000002	0.963819723	0.554667416	-0.029678496000000002	notreduced	-2.882678358			NaN			NaN			NaN	0.883600371	0.043825	Slow
3	PBANKA_1101500	PBANKA_110150	anaphase-promoting complex subunit 3	APC3	pilot,pool3	-0.2701149983430932	0.08939425637990897	0.007991333073716895	-0.09132648558327527	-0.4489035111029112	Not Reduced	Not applied,Not applied	Mf1 and Mf2,Mf2	0.001257151852348204	0.002855530636048063	-10.079505997066605	0.28432773969971925	0.08084226356275133	-9.510850517667166	-10.648161476466043	Reduced	Not applied,Not applied	Mf1 and Mf2,Mf1 and Mf2	0.0	0.0	GFPsort	0.31762995899999996	0.16928340600000003	0.9696943720000001	0.656196772	-0.020936853999999998	notreduced	RFPsort	0.24513295300000001	0.182006282	0.910983772	0.6091455170000001	-0.118879612	notreduced	0.6091455170000001	-0.672871019	0.308945562	nopower	-0.9300778609999999	0.371694842	nopower	-0.623756294	0.526030446	nopower	0.999011038	0.078894837	Dispensable
4	PBANKA_0312200	PBANKA_031220	conserved Plasmodium protein, unknown function	NaN	pool6	-10.76368604913584	0.33961697364888305	0.11533968879042612	-10.084452101838076	-11.442919996433606	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	-10.014268503249722	0.16046749584642725	0.02574981722322315	-9.693333511556867	-10.335203494942578	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	GFPsort	-1.4568317709999998	0.315835604	1.99e-06	-0.825160562	-2.08850298	nopower	RFPsort	-0.9848210940000001	0.279660465	0.000214566	-0.425500163	-1.544142025	nopower	-0.825160562	-8.380142579	0.518491475	reduced	-0.03996949	0.700703903	nopower	1.2323652109999998	0.761688426	notreduced	0.625897407	0.088299847	Slow
5	PBANKA_1336500	PBANKA_133650	CKK domain-containing protein, putative	NaN	pool2	0.5379476307409061	0.2106617278459325	0.044378363579033735	0.9592710864327711	0.1166241750490411	Not Reduced	Not applied	Mf1 and Mf2	0.9946693509583802	1.0	-9.969847052888996	0.3007158418291403	0.09043001752700854	-9.368415369230716	-10.571278736547276	Reduced	Not applied	Mf1	0.0	0.0	GFPsort	0.215179275	0.105222916	0.979571827	0.425625107	0.004733444	notreduced	RFPsort	0.325665944	0.104080273	0.999122953	0.53382649	0.11750539900000001	notreduced	0.425625107	-0.7019723059999999	0.738733231	nopower	1.282786039	0.617633385	notreduced	-1.083649074	0.87807366	nopower	1.000837741	0.135137544	Dispensable
6	PBANKA_0106200	PBANKA_010620	spindle assembly abnormal protein 6	SAS6	pilot,pool2	-0.07485607479986303	0.1519198011482854	0.023079625980934583	0.22898352749670775	-0.3786956770964338	Not Reduced	Not applied,Not applied	Mf1 and Mf2,Mf1 and Mf2	0.3111002205943938	0.49267863620028496	-9.961438555581651	0.3854197879211533	0.14854841292118676	-9.190598979739347	-10.73227813142396	Reduced	Not applied,Not applied	Mf1 and Mf2,Mf1 and Mf2	0.0	0.0	GFPsort	-0.16269466400000002	0.153519778	0.144626093	0.144344893	-0.469734221	notreduced	RFPsort	-0.016213511	0.148568169	0.45654897899999997	0.280922828	-0.31334984899999996	notreduced	0.144344893	-0.84644472	0.183201185	nopower	-0.457841819	0.177993542	notreduced	-0.322360827	0.15729712099999998	notreduced	1.016958916	0.052005146	Dispensable
7	PBANKA_0832500	PBANKA_083250	PIH1 domain-containing protein, putative	NaN	pool4	0.5149777537321528	0.19155229590074932	0.03669228206484823	0.8980823455336515	0.13187316193065413	Not Reduced	Not applied	Mf2	0.9964107137054992	1.0	-9.730105354176665	0.21204388050725054	0.04496260726057316	-9.306017593162162	-10.154193115191164	Reduced	Not applied	Mf1	0.0	0.0	GFPsort	-0.182443507	0.341633016	0.29665914600000004	0.500822525	-0.865709539	notreduced	RFPsort	-0.316810973	0.34950314600000004	0.182345948	0.382195319	-1.015817266	nopower	0.382195319	-0.861605828	0.183201185	nopower	-0.536570083	0.17743004699999998	notreduced	-1.2908101790000002	0.202456503	nopower	0.998165038	0.067280605	Dispensable
8	PBANKA_0713500	PBANKA_071350	conserved Plasmodium protein, unknown function	NaN	pool1	0.6442582165801781	0.19255690449064544	0.03707816146701955	1.0293720255614691	0.25914440759888724	Not Reduced	Not applied	Mf1 and Mf2	0.999589782426765	1.0	-9.624444501275617	0.6810625199062249	0.4638461560210171	-8.262319461463168	-10.986569541088066	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	GFPsort	-2.787893277	0.36992762700000004	2.42e-14	-2.048038023	-3.527748532	reduced	RFPsort	0.790702839	0.17526167199999998	0.9999967820000001	1.141226182	0.440179496	notreduced	-2.048038023	-2.9957588189999997	0.456551703	reduced	-0.006822007	0.469352473	notreduced	-1.541023559	0.57485228	nopower	1.011930049	0.061975984	Dispensable
9	PBANKA_0904600	PBANKA_090460	conserved Plasmodium protein, unknown function	NaN	pool3	-0.3317462796478695	0.2615227173338129	0.06839413168166139	0.19129915501975625	-0.8547917143154953	Not Reduced	Not applied	Mf1 and Mf2	0.1023065098018745	0.18277230402806796	-9.532085995334194	0.20937258807388226	0.04383688063675557	-9.113340819186432	-9.95083117148196	Reduced	Not applied	Mf1 and Mf2	0.0	0.0	GFPsort	0.27529556899999996	0.127338465	0.984687827	0.529972499	0.020618638	notreduced	RFPsort	0.120837767	0.132117725	0.819804926	0.385073216	-0.143397683	notreduced	0.385073216	-0.999586705	0.095239445	nopower	-0.122669166	0.110283763	notreduced	-1.19293963	0.222150531	nopower	1.026744966	0.061306638	Dispensable
